Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,23.59,22.18,23.18,Filler!,23.18
2,2/1/2018,Filler!,23.18,21.25,22.32,Filler!,22.32
3,3/1/2018,Filler!,23.01,21.46,21.88,Filler!,21.88
4,4/1/2018,Filler!,22.48,21.39,21.96,Filler!,21.96
5,5/1/2018,Filler!,22.78,21.84,22.58,Filler!,22.58
6,6/1/2018,Filler!,23.29,22.58,22.73,Filler!,22.73
7,7/1/2018,Filler!,23.74,22.72,23.5,Filler!,23.5
8,8/1/2018,Filler!,24.39,23.47,24.31,Filler!,24.31
9,9/1/2018,Filler!,24.5,24.05,24.35,Filler!,24.35
10,10/1/2018,Filler!,24.39,21.96,22.55,Filler!,22.55
11,11/1/2018,Filler!,23.43,21.99,23.02,Filler!,23.02
12,12/1/2018,Filler!,23.3,19.59,20.88,Filler!,20.88
13,1/1/2019,Filler!,22.68,20.42,22.68,Filler!,22.68
