Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,12.46,11.77,12.29,Filler!,12.29
2,2/1/2018,Filler!,12.27,11.32,11.64,Filler!,11.64
3,3/1/2018,Filler!,11.81,11.32,11.56,Filler!,11.56
4,4/1/2018,Filler!,11.82,11.41,11.69,Filler!,11.69
5,5/1/2018,Filler!,11.87,11.36,11.44,Filler!,11.44
6,6/1/2018,Filler!,11.67,11.08,11.23,Filler!,11.23
7,7/1/2018,Filler!,11.52,11.09,11.5,Filler!,11.5
8,8/1/2018,Filler!,11.47,10.94,11.25,Filler!,11.25
9,9/1/2018,Filler!,11.4,10.91,11.31,Filler!,11.31
10,10/1/2018,Filler!,11.35,10.17,10.39,Filler!,10.39
11,11/1/2018,Filler!,10.74,10.24,10.49,Filler!,10.49
12,12/1/2018,Filler!,10.66,9.72,10.02,Filler!,10.02
13,1/1/2019,Filler!,10.79,9.9,10.79,Filler!,10.79
