Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,22.37,21.04,21.98,Filler!,21.98
2,2/1/2018,Filler!,21.98,20.16,21.17,Filler!,21.17
3,3/1/2018,Filler!,21.82,20.34,20.74,Filler!,20.74
4,4/1/2018,Filler!,21.29,20.28,20.82,Filler!,20.82
5,5/1/2018,Filler!,21.59,20.69,21.4,Filler!,21.4
6,6/1/2018,Filler!,22.06,21.39,21.54,Filler!,21.54
7,7/1/2018,Filler!,22.47,21.53,22.25,Filler!,22.25
8,8/1/2018,Filler!,23.1,22.23,23.02,Filler!,23.02
9,9/1/2018,Filler!,23.21,22.78,23.06,Filler!,23.06
10,10/1/2018,Filler!,23.1,20.8,21.38,Filler!,21.38
11,11/1/2018,Filler!,22.2,20.86,21.82,Filler!,21.82
12,12/1/2018,Filler!,22.08,18.57,19.8,Filler!,19.8
13,1/1/2019,Filler!,21.5,19.36,21.5,Filler!,21.5
